"","X.1","X","Data.As.Of","Start.Date","End.Date","Group","State","Sex","Age.Group","COVID.19.Deaths","COVID.19.Deaths_factor","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths"
"3467",3467,6459,"11/24/2021","1/1/2020","12/31/2020","By Year","North Dakota","Male","75-84 years",225,2,1143,212,132,NA
"3468",3468,6460,"11/24/2021","1/1/2020","12/31/2020","By Year","North Dakota","Male","85 years and over",316,2,1280,228,151,NA
"3474",3474,6473,"11/24/2021","1/1/2020","12/31/2020","By Year","North Dakota","Female","50-64 years",42,1,459,47,21,NA
"3476",3476,6475,"11/24/2021","1/1/2020","12/31/2020","By Year","North Dakota","Female","65-74 years",84,1,596,102,49,NA
"3477",3477,6476,"11/24/2021","1/1/2020","12/31/2020","By Year","North Dakota","Female","75-84 years",183,2,951,146,91,NA
"3478",3478,6477,"11/24/2021","1/1/2020","12/31/2020","By Year","North Dakota","Female","85 years and over",355,2,1854,218,133,NA
"3484",3484,6505,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Male","40-49 years",20,1,198,13,11,NA
"3486",3486,6507,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Male","50-64 years",84,1,659,89,51,0
"3488",3488,6509,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Male","65-74 years",102,2,779,118,70,0
"3489",3489,6510,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Male","75-84 years",79,1,799,109,51,0
"3490",3490,6511,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Male","85 years and over",70,1,830,98,41,0
"3493",3493,6514,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Female","0-17 years",0,1,20,0,0,0
"3496",3496,6522,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Female","40-49 years",13,1,100,11,NA,0
"3498",3498,6524,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Female","50-64 years",47,1,393,63,31,0
"3500",3500,6526,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Female","65-74 years",52,1,509,60,28,NA
"3501",3501,6527,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Female","75-84 years",55,1,688,86,36,0
"3502",3502,6528,"11/24/2021","1/1/2021","11/20/2021","By Year","North Dakota","Female","85 years and over",76,1,1129,108,26,0
"3505",3505,6548,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Male","0-17 years",0,1,830,14,0,NA
"3508",3508,6552,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Male","18-29 years",10,1,1811,30,NA,NA
"3510",3510,6554,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Male","30-39 years",54,1,2469,81,25,NA
"3512",3512,6556,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Male","40-49 years",123,2,3395,163,50,11
"3514",3514,6558,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Male","50-64 years",981,3,13982,1044,474,39
"3516",3516,6560,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Male","65-74 years",1846,4,16573,1774,940,42
"3517",3517,6561,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Male","75-84 years",2483,4,17834,2137,1269,28
"3518",3518,6562,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Male","85 years and over",2300,4,16722,1797,1002,20
"3520",3520,6569,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Female","18-29 years",10,1,772,21,NA,NA
"3522",3522,6571,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Female","30-39 years",37,1,1258,39,13,NA
"3524",3524,6573,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Female","40-49 years",82,1,2022,114,40,10
"3526",3526,6575,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Female","50-64 years",572,3,9073,724,283,28
"3528",3528,6577,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Female","65-74 years",1116,4,12139,1077,536,31
"3529",3529,6578,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Female","75-84 years",2117,4,17385,1649,875,39
"3530",3530,6579,"11/24/2021","1/1/2020","12/31/2020","By Year","Ohio","Female","85 years and over",3361,4,27063,2100,1169,41
"3533",3533,6603,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Male","18-29 years",41,1,1562,35,20,0
"3535",3535,6605,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Male","30-39 years",115,2,2326,107,62,0
"3537",3537,6607,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Male","40-49 years",307,2,3182,240,171,0
"3539",3539,6609,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Male","50-64 years",1531,4,12619,1370,899,NA
"3541",3541,6611,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Male","65-74 years",2000,4,14601,1785,1178,NA
"3542",3542,6612,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Male","75-84 years",2092,4,14672,1858,1204,NA
"3543",3543,6613,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Male","85 years and over",1667,4,12839,1371,835,0
"3547",3547,6620,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Female","18-29 years",25,1,598,20,12,0
"3549",3549,6622,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Female","30-39 years",97,1,1183,74,50,0
"3551",3551,6624,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Female","40-49 years",220,2,1859,190,128,0
"3553",3553,6626,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Female","50-64 years",1086,4,8224,988,670,0
"3555",3555,6628,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Female","65-74 years",1450,4,10845,1317,852,NA
"3556",3556,6629,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Female","75-84 years",1634,4,13938,1340,824,NA
"3557",3557,6630,"11/24/2021","1/1/2021","11/20/2021","By Year","Ohio","Female","85 years and over",2046,4,20150,1467,797,NA
"3560",3560,6654,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Male","18-29 years",17,1,568,20,NA,NA
"3562",3562,6656,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Male","30-39 years",34,1,794,44,11,0
"3564",3564,6658,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Male","40-49 years",90,1,1227,98,33,NA
"3566",3566,6660,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Male","50-64 years",450,2,4970,459,158,24
"3568",3568,6662,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Male","65-74 years",710,3,5726,712,286,15
"3569",3569,6663,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Male","75-84 years",835,3,6019,845,359,15
"3570",3570,6664,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Male","85 years and over",703,3,4776,647,295,NA
"3574",3574,6673,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Female","30-39 years",23,1,419,21,NA,NA
"3576",3576,6675,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Female","40-49 years",57,1,726,56,17,NA
"3578",3578,6677,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Female","50-64 years",308,2,3234,376,126,17
"3580",3580,6679,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Female","65-74 years",525,3,4450,571,208,17
"3581",3581,6680,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Female","75-84 years",672,3,5605,628,249,17
"3582",3582,6681,"11/24/2021","1/1/2020","12/31/2020","By Year","Oklahoma","Female","85 years and over",817,3,7156,622,249,17
"3587",3587,6705,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Male","18-29 years",31,1,526,31,16,0
"3589",3589,6707,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Male","30-39 years",80,1,761,61,44,0
"3591",3591,6709,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Male","40-49 years",238,2,1193,154,117,0
"3593",3593,6711,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Male","50-64 years",911,3,4789,709,480,NA
"3595",3595,6713,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Male","65-74 years",915,3,5277,794,472,NA
"3596",3596,6714,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Male","75-84 years",901,3,5297,789,444,NA
"3597",3597,6715,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Male","85 years and over",577,3,3798,498,263,NA
"3600",3600,6722,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Female","18-29 years",21,1,217,17,NA,0
"3602",3602,6724,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Female","30-39 years",65,1,395,48,34,0
"3604",3604,6726,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Female","40-49 years",170,2,774,109,79,0
"3606",3606,6728,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Female","50-64 years",581,3,3051,502,308,NA
"3608",3608,6730,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Female","65-74 years",681,3,3987,591,339,NA
"3609",3609,6731,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Female","75-84 years",721,3,4871,604,336,NA
"3610",3610,6732,"11/24/2021","1/1/2021","11/20/2021","By Year","Oklahoma","Female","85 years and over",698,3,5656,515,254,NA
"3613",3613,6752,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Male","0-17 years",0,1,198,0,0,NA
"3617",3617,6760,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Male","40-49 years",18,1,861,25,NA,NA
"3619",3619,6762,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Male","50-64 years",152,2,3758,168,50,12
"3621",3621,6764,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Male","65-74 years",154,2,4748,270,66,14
"3622",3622,6765,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Male","75-84 years",273,2,5414,360,107,NA
"3623",3623,6766,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Male","85 years and over",245,2,5077,301,80,10
"3626",3626,6769,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Female","0-17 years",0,1,145,NA,0,NA
"3630",3630,6773,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Female","18-29 years",0,1,164,NA,0,0
"3632",3632,6777,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Female","40-49 years",11,1,492,16,NA,NA
"3634",3634,6779,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Female","50-64 years",62,1,2283,126,22,NA
"3636",3636,6781,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Female","65-74 years",127,2,3557,200,62,NA
"3637",3637,6782,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Female","75-84 years",208,2,4686,244,59,11
"3638",3638,6783,"11/24/2021","1/1/2020","12/31/2020","By Year","Oregon","Female","85 years and over",345,2,7457,330,68,NA
"3642",3642,6807,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Male","18-29 years",14,1,474,NA,NA,0
"3644",3644,6809,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Male","30-39 years",38,1,631,22,17,0
"3646",3646,6811,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Male","40-49 years",123,2,990,69,55,0
"3648",3648,6813,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Male","50-64 years",430,2,3605,318,217,0
"3650",3650,6815,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Male","65-74 years",467,2,4650,355,214,NA
"3651",3651,6816,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Male","75-84 years",502,3,5060,392,232,NA
"3652",3652,6817,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Male","85 years and over",368,2,4551,354,162,0
"3655",3655,6820,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Female","0-17 years",0,1,101,0,0,0
"3658",3658,6824,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Female","18-29 years",12,1,155,NA,NA,0
"3660",3660,6826,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Female","30-39 years",24,1,297,11,NA,NA
"3662",3662,6828,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Female","40-49 years",65,1,491,44,30,0
"3664",3664,6830,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Female","50-64 years",276,2,2273,205,138,0
"3666",3666,6832,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Female","65-74 years",330,2,3371,276,172,0
"3667",3667,6833,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Female","75-84 years",361,2,4304,265,141,NA
"3668",3668,6834,"11/24/2021","1/1/2021","11/20/2021","By Year","Oregon","Female","85 years and over",439,2,6402,313,148,NA
"3673",3673,6858,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Male","18-29 years",24,1,1800,33,NA,0
"3675",3675,6860,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Male","30-39 years",63,1,2521,64,25,NA
"3677",3677,6862,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Male","40-49 years",161,2,3074,144,69,NA
"3679",3679,6864,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Male","50-64 years",1183,4,13927,998,504,39
"3681",3681,6866,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Male","65-74 years",1977,4,16979,1707,904,32
"3682",3682,6867,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Male","75-84 years",2732,4,19556,2274,1220,45
"3683",3683,6868,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Male","85 years and over",2977,4,20311,2106,1100,32
"3686",3686,6871,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Female","0-17 years",0,1,523,NA,0,0
"3690",3690,6877,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Female","30-39 years",25,1,1069,32,10,NA
"3692",3692,6879,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Female","40-49 years",89,1,1830,98,38,NA
"3694",3694,6881,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Female","50-64 years",656,3,8704,678,278,35
"3696",3696,6883,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Female","65-74 years",1342,4,12408,1136,583,21
"3697",3697,6884,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Female","75-84 years",2309,4,18312,1632,883,51
"3698",3698,6885,"11/24/2021","1/1/2020","12/31/2020","By Year","Pennsylvania","Female","85 years and over",4857,4,34208,2704,1358,56
"3703",3703,6909,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Male","18-29 years",32,1,1559,30,12,0
"3705",3705,6911,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Male","30-39 years",121,2,2264,91,61,0
"3707",3707,6913,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Male","40-49 years",298,2,2857,216,157,0
"3709",3709,6915,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Male","50-64 years",1582,4,12460,1207,819,NA
"3711",3711,6917,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Male","65-74 years",2077,4,15235,1775,1141,NA
"3712",3712,6918,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Male","75-84 years",2222,4,16241,1919,1184,NA
"3713",3713,6919,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Male","85 years and over",2022,4,15944,1645,959,NA
"3717",3717,6926,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Female","18-29 years",27,1,575,22,11,0
"3719",3719,6928,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Female","30-39 years",71,1,1049,64,38,0
"3721",3721,6930,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Female","40-49 years",209,2,1677,140,99,0
"3723",3723,6932,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Female","50-64 years",973,3,7845,839,542,NA
"3725",3725,6934,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Female","65-74 years",1444,4,10870,1258,803,NA
"3726",3726,6935,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Female","75-84 years",1753,4,15022,1428,864,0
"3727",3727,6936,"11/24/2021","1/1/2021","11/20/2021","By Year","Pennsylvania","Female","85 years and over",2561,4,24970,1787,917,NA
"3730",3730,6956,"11/24/2021","1/1/2020","12/31/2020","By Year","Rhode Island","Male","0-17 years",0,1,50,NA,0,0
"3735",3735,6964,"11/24/2021","1/1/2020","12/31/2020","By Year","Rhode Island","Male","40-49 years",16,1,230,10,NA,0
"3737",3737,6966,"11/24/2021","1/1/2020","12/31/2020","By Year","Rhode Island","Male","50-64 years",105,2,1060,90,49,NA
"3739",3739,6968,"11/24/2021","1/1/2020","12/31/2020","By Year","Rhode Island","Male","65-74 years",204,2,1219,145,104,NA
"3740",3740,6969,"11/24/2021","1/1/2020","12/31/2020","By Year","Rhode Island","Male","75-84 years",262,2,1423,195,115,NA
"3741",3741,6970,"11/24/2021","1/1/2020","12/31/2020","By Year","Rhode Island","Male","85 years and over",333,2,1795,231,143,NA
"3747",3747,6983,"11/24/2021","1/1/2020","12/31/2020","By Year","Rhode Island","Female","50-64 years",50,1,653,63,28,NA
"3749",3749,6985,"11/24/2021","1/1/2020","12/31/2020","By Year","Rhode Island","Female","65-74 years",140,2,838,107,75,NA
"3750",3750,6986,"11/24/2021","1/1/2020","12/31/2020","By Year","Rhode Island","Female","75-84 years",233,2,1395,164,105,NA
"3751",3751,6987,"11/24/2021","1/1/2020","12/31/2020","By Year","Rhode Island","Female","85 years and over",552,3,2978,278,171,NA
"3754",3754,7007,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Male","0-17 years",0,1,36,0,0,NA
"3757",3757,7015,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Male","40-49 years",11,1,191,NA,NA,0
"3759",3759,7017,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Male","50-64 years",93,1,841,70,49,0
"3761",3761,7019,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Male","65-74 years",117,2,1027,103,62,0
"3762",3762,7020,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Male","75-84 years",118,2,1130,112,61,0
"3763",3763,7021,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Male","85 years and over",142,2,1243,132,70,NA
"3766",3766,7024,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Female","0-17 years",0,1,27,0,0,0
"3770",3770,7034,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Female","50-64 years",46,1,539,46,27,0
"3772",3772,7036,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Female","65-74 years",79,1,726,62,38,0
"3773",3773,7037,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Female","75-84 years",116,2,1074,85,52,0
"3774",3774,7038,"11/24/2021","1/1/2021","11/20/2021","By Year","Rhode Island","Female","85 years and over",222,2,2134,155,83,0
"3778",3778,7062,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Male","18-29 years",13,1,987,19,NA,NA
"3780",3780,7064,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Male","30-39 years",31,1,1120,34,14,NA
"3782",3782,7066,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Male","40-49 years",104,2,1624,87,39,NA
"3784",3784,7068,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Male","50-64 years",464,2,6571,551,220,20
"3786",3786,7070,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Male","65-74 years",763,3,7554,761,372,17
"3787",3787,7071,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Male","75-84 years",984,3,7912,914,467,19
"3788",3788,7072,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Male","85 years and over",616,3,5620,609,283,NA
"3792",3792,7079,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Female","18-29 years",11,1,374,18,NA,NA
"3794",3794,7081,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Female","30-39 years",16,1,557,19,NA,NA
"3796",3796,7083,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Female","40-49 years",55,1,1045,66,26,12
"3798",3798,7085,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Female","50-64 years",365,2,4283,409,170,20
"3800",3800,7087,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Female","65-74 years",599,3,5538,575,291,11
"3801",3801,7088,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Female","75-84 years",762,3,7121,671,333,17
"3802",3802,7089,"11/24/2021","1/1/2020","12/31/2020","By Year","South Carolina","Female","85 years and over",917,3,9365,752,337,13
"3806",3806,7113,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Male","18-29 years",32,1,884,16,11,0
"3808",3808,7115,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Male","30-39 years",109,2,1149,70,59,0
"3810",3810,7117,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Male","40-49 years",281,2,1645,182,156,0
"3812",3812,7119,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Male","50-64 years",1026,4,6025,821,598,0
"3814",3814,7121,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Male","65-74 years",1263,4,6986,1058,731,NA
"3815",3815,7122,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Male","75-84 years",1164,4,6800,1018,672,NA
"3816",3816,7123,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Male","85 years and over",669,3,4703,562,339,NA
"3819",3819,7130,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Female","18-29 years",24,1,334,18,12,0
"3821",3821,7132,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Female","30-39 years",75,1,580,69,46,0
"3823",3823,7134,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Female","40-49 years",201,2,1026,121,100,NA
"3825",3825,7136,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Female","50-64 years",796,3,4049,603,474,NA
"3827",3827,7138,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Female","65-74 years",961,3,5118,737,527,NA
"3828",3828,7139,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Female","75-84 years",848,3,6251,753,470,0
"3829",3829,7140,"11/24/2021","1/1/2021","11/20/2021","By Year","South Carolina","Female","85 years and over",693,3,7215,562,289,NA
"3832",3832,7160,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Male","0-17 years",0,1,69,NA,0,NA
"3835",3835,7166,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Male","30-39 years",13,1,181,NA,NA,NA
"3836",3836,7168,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Male","40-49 years",14,1,220,19,NA,0
"3838",3838,7170,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Male","50-64 years",116,2,877,115,67,NA
"3840",3840,7172,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Male","65-74 years",181,2,1132,164,97,NA
"3841",3841,7173,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Male","75-84 years",268,2,1317,208,115,NA
"3842",3842,7174,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Male","85 years and over",323,2,1495,210,125,NA
"3845",3845,7177,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Female","0-17 years",0,1,62,NA,0,0
"3848",3848,7185,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Female","40-49 years",20,1,124,11,NA,0
"3850",3850,7187,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Female","50-64 years",67,1,553,75,37,NA
"3852",3852,7189,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Female","65-74 years",144,2,766,120,82,NA
"3853",3853,7190,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Female","75-84 years",176,2,1014,126,76,NA
"3854",3854,7191,"11/24/2021","1/1/2020","12/31/2020","By Year","South Dakota","Female","85 years and over",386,2,2066,178,91,NA
"3857",3857,7211,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Male","0-17 years",0,1,58,NA,0,0
"3860",3860,7217,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Male","30-39 years",12,1,146,14,NA,0
"3862",3862,7219,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Male","40-49 years",17,1,197,22,12,0
"3864",3864,7221,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Male","50-64 years",69,1,758,76,41,NA
"3866",3866,7223,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Male","65-74 years",97,1,932,129,65,0
"3867",3867,7224,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Male","75-84 years",93,1,941,114,53,0
"3868",3868,7225,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Male","85 years and over",90,1,941,105,49,NA
"3874",3874,7238,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Female","50-64 years",48,1,468,61,32,0
"3876",3876,7240,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Female","65-74 years",82,1,646,95,49,0
"3877",3877,7241,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Female","75-84 years",61,1,768,80,27,0
"3878",3878,7242,"11/24/2021","1/1/2021","11/20/2021","By Year","South Dakota","Female","85 years and over",91,1,1392,105,33,0
"3881",3881,7266,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Male","18-29 years",18,1,1374,32,NA,0
"3883",3883,7268,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Male","30-39 years",51,1,1824,58,22,NA
"3885",3885,7270,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Male","40-49 years",136,2,2714,149,62,NA
"3887",3887,7272,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Male","50-64 years",743,3,9983,949,409,37
"3889",3889,7274,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Male","65-74 years",1141,4,10958,1349,636,38
"3890",3890,7275,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Male","75-84 years",1369,4,11315,1539,730,19
"3891",3891,7276,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Male","85 years and over",897,3,7907,1038,474,13
"3894",3894,7283,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Female","18-29 years",15,1,563,16,NA,NA
"3896",3896,7285,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Female","30-39 years",28,1,931,38,NA,NA
"3898",3898,7287,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Female","40-49 years",92,1,1623,129,52,14
"3900",3900,7289,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Female","50-64 years",488,2,6591,691,290,21
"3902",3902,7291,"11/24/2021","1/1/2020","12/31/2020","By Year","Tennessee","Female","65-74 years",741,3,8191,956,371,25
