"","X.1","X","Data.As.Of","Start.Date","End.Date","Group","State","Sex","Age.Group","COVID.19.Deaths","COVID.19.Deaths_factor","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths"
"293",293,542,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Male","65-74 years",7983,4,55515,8518,5454,63
"294",294,543,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Male","75-84 years",8887,4,65204,9796,5881,65
"295",295,544,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Male","85 years and over",6616,4,59098,7522,4101,43
"297",297,547,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Female","0-17 years",33,1,1707,39,11,NA
"299",299,551,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Female","18-29 years",150,2,2288,159,92,NA
"301",301,553,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Female","30-39 years",495,2,4252,467,320,14
"303",303,555,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Female","40-49 years",1099,4,6919,1009,740,17
"305",305,557,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Female","50-64 years",4386,4,29221,4474,3019,50
"307",307,559,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Female","65-74 years",5403,4,38521,5655,3556,58
"308",308,560,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Female","75-84 years",6613,4,54489,7136,4225,58
"309",309,561,"11/24/2021","1/1/2020","11/20/2021","By Total","Florida","Female","85 years and over",7438,4,81702,7618,4101,59
"311",311,581,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Male","0-17 years",19,1,1360,18,NA,NA
"313",313,585,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Male","18-29 years",115,2,3039,93,48,NA
"315",315,587,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Male","30-39 years",324,2,3797,223,157,NA
"317",317,589,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Male","40-49 years",832,3,5983,606,447,NA
"319",319,591,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Male","50-64 years",3456,4,23325,2777,1931,24
"321",321,593,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Male","65-74 years",3766,4,24647,3263,2157,30
"322",322,594,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Male","75-84 years",3654,4,24090,3252,2066,21
"323",323,595,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Male","85 years and over",2017,4,16602,1842,1022,13
"327",327,602,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Female","18-29 years",96,1,1149,69,47,NA
"329",329,604,"11/24/2021","1/1/2020","11/20/2021","By Total","Georgia","Female","30-39 years",294,2,2131,205,144,NA
